acronym,expansions,description
HALF YEARLY,Half Yearly Examination,Mid-term examination conducted in schools
PERIODIC TEST,Periodic Test,Regular tests conducted periodically under revised assessment patterns
PRIVATE CANDIDATE,Private Candidate,Student appearing for board exam without attending regular school
SUBJECT ENRICHMENT,Subject Enrichment Activities,Activities for deeper understanding of subjects
UMC,Unfair Means Case,Case of cheating or using prohibited materials in exams
UNIT TEST,Unit Test,Short test conducted after completion of a unit/chapter
FIT INDIA,Fit India Movement,Movement encouraging physical activity and sports in schools
AIM,Atal Innovation Mission,Mission promoting innovation and entrepreneurship including ATLs in schools
PRI,Panchayati Raj Institution,Local self-government bodies involved in school education monitoring
AR EDU,Augmented Reality in Education,Using AR technology for immersive learning experiences
ADAPTIVE LEARNING,Adaptive Learning System,Technology that adapts to individual student needs
DIGITAL MARKSHEET,Digital Marksheet,Online version of examination marksheet
ENERGIZED TEXTBOOK,Energized Textbook,Textbooks embedded with QR codes linking to multimedia content
GOOGLE CLASSROOM,Google Classroom,Google's free web service for classroom management
KHAN ACADEMY,Khan Academy,Free online learning platform with Indian curriculum content
MICROSOFT TEAMS,Microsoft Teams for Education,Microsoft's collaboration platform for education
OLABS,Online Labs,Amrita University's virtual lab platform for schools
OMR,Optical Mark Recognition,Technology for reading marked answers in offline exams
ONLINE EXAM,Online Examination,Examinations conducted through digital platforms
PARENT APP,Parent Mobile Application,App for parents to monitor child's progress and attendance
PERSONALIZED LEARNING,Personalized Learning,Tailoring education to individual student needs
QR CODE TEXTBOOK,QR Code in Textbooks,Textbooks with QR codes linking to digital content on DIKSHA
VR EDU,Virtual Reality in Education,Using VR technology for immersive learning experiences
VIRTUAL LAB,Virtual Laboratory,Online platform for conducting science experiments virtually
WHITEHAT JR,WhiteHat Junior,Coding classes for children
OPEN SCHOOL,Open School,School providing flexible distance education options
PATRACHAR,Patrachar Vidyalaya,Delhi government open school for private candidates
BOSSE,Board of Open Schooling and Skill Education,Open school board under NIOS for Sikkim and Northeast
MPSOS,Madhya Pradesh State Open School,State open school for distance education in Madhya Pradesh
RSOS,Rajasthan State Open School,State open school for distance education in Rajasthan
WBCROS,West Bengal Council of Rabindra Open Schooling,State open school for distance education in West Bengal
EWS,Economically Weaker Section,Category for 10% reservation in admissions
GEN,General Category,Open category without reservation benefits
OBC,Other Backward Classes,Socially and educationally backward classes eligible for reservation
PWD,Persons with Disabilities,Category for students with disabilities eligible for reservation
SC,Scheduled Castes,Historically disadvantaged castes eligible for reservation
ST,Scheduled Tribes,Historically disadvantaged tribes eligible for reservation
SSY,Sukanya Samriddhi Yojana,Small savings scheme for girl child education and marriage expenses
BEGUM HAZRAT MAHAL,Begum Hazrat Mahal National Scholarship,Scholarship for girl students from minority communities in classes 9-12
MYSY,Mukhya Mantri Yuva Swavalamban Yojana,Gujarat state scholarship for meritorious students
MERIT CUM MEANS,Merit-cum-Means Scholarship,Scholarship for minority students based on merit and means
TOP CLASS SCHOOL,Top Class Education for SC Students,Scholarship for SC students in top-class private residential schools
OASIS,Online Application for Scholarships in Studies,"West Bengal scholarship portal for SC, ST, and OBC students"
PRERANA,Post Matric Scholarship for ST Students,Portal for post-matric scholarship for ST students
EPASS,Electronic Payment and Application System of Scholarships,Online scholarship portal for various states
CONSUMER CLUB,Consumer Club,Clubs creating awareness about consumer rights
DISASTER MGMT CLUB,Disaster Management Club,Clubs creating awareness about disaster preparedness
ECO CLUB,Eco Club,Environmental clubs in schools for creating awareness
HEALTH CLUB,Health and Wellness Club,Clubs promoting health and wellness among students
HERITAGE CLUB,Heritage Club,Clubs for preserving and promoting cultural heritage
LITERACY CLUB,Literacy Club,Clubs promoting reading and literacy skills
MATHS CLUB,Mathematics Club,Clubs promoting interest in mathematics
ROAD SAFETY CLUB,Road Safety Club,Clubs promoting road safety awareness
SCIENCE CLUB,Science Club,Clubs fostering scientific temperament and innovation
CC,Character Certificate,Certificate attesting to student's character and conduct
MC,Migration Certificate,Certificate required for students moving from one board to another
SLC,School Leaving Certificate,Certificate issued when a student leaves school permanently
TC,Transfer Certificate,Certificate issued when a student transfers from one school to another
PTA,Parent Teacher Association,Association of parents and teachers for school welfare
SDMC,School Development and Monitoring Committee,Karnataka's version of SMC for school management
SMC,School Management Committee,"Committee of parents, teachers, and community for school management"
VEC,Village Education Committee,Village-level committee for monitoring school education
ATL,Atal Tinkering Lab,Workspaces in schools for students to explore STEM concepts
CCTV SCHOOL,CCTV in Schools,Surveillance cameras for school security
COMPUTER LAB,Computer Laboratory,Room equipped with computers for student use
DISABLED TOILET,Disabled-Friendly Toilet,Toilets accessible for students with disabilities
DRINKING WATER,Safe Drinking Water,Provision of potable water in schools
ICT,Information and Communication Technology,Technology tools used in education
ICT LAB,Information and Communication Technology Lab,Computer labs in schools under government schemes
INCINERATOR,Sanitary Napkin Incinerator,Facility for safe disposal of sanitary napkins
LANGUAGE LAB,Language Laboratory,Room equipped for language learning with audio-visual aids
RO PLANT,Reverse Osmosis Plant,Water purification system
SCIENCE LAB,Science Laboratory,Room equipped for conducting science experiments
SEPARATE TOILET,Separate Toilets for Girls,Gender-segregated toilet facilities
SMART BOARD,Interactive Smart Board,Digital interactive whiteboard for teaching
SMART CLASS,Smart Classroom,Technology-enabled classroom with digital teaching aids
SOLAR PANEL,Solar Panel,Solar energy system for electricity generation
TLM,Teaching Learning Material,Materials used by teachers for effective instruction
AWES,Army Welfare Education Society,Society managing Army Public Schools
AI SUBJECT,Artificial Intelligence,Subject introduced in CBSE for classes 9-12
DATA SCIENCE,Data Science,Subject introduced in CBSE for skill development
EVS,Environmental Studies,Subject combining environmental science and social studies for primary classes
INFO PRAC,Informatics Practices,Subject for studying information technology applications
LEGAL STUDIES,Legal Studies,Subject for studying basics of law and legal system
MASS MEDIA,Mass Media Studies,Subject for studying media and communication
SST,Social Science / Social Studies,"Subject combining history, geography, civics, and economics"
APS,Army Public School,Schools for children of Indian Army personnel managed by AWES
AWC,Anganwadi Centre,Center under ICDS providing early childhood care and education
EMRS,Eklavya Model Residential School,Residential schools for ST students providing quality education
PM SHRI SCHOOL,PM Schools for Rising India,Upgraded exemplar schools under PM SHRI scheme
RIMC,Rashtriya Indian Military College,Prestigious military school in Dehradun for NDA preparation
RMS,Rashtriya Military School,Military schools for boys preparing for armed forces careers
SAINIK SCHOOL,Sainik School,Residential schools preparing students for entry into National Defence Academy
BBBP,Beti Bachao Beti Padhao,"Scheme for survival, protection, and education of the girl child"
ICDS,Integrated Child Development Services,Government program for children under 6 providing nutrition and preschool education
KHELO INDIA,Khelo India,National program for sports development including school-level talent identification
AHSEC,Assam Higher Secondary Education Council,State board for HS (Class 12) exams in Assam
BIEAP,Board of Intermediate Education Andhra Pradesh,State board for intermediate (Class 11-12) in Andhra Pradesh
BSE ODISHA,Board of Secondary Education Odisha,State board for Class 10 (HSC) exams in Odisha
BSE TELANGANA,Board of Secondary Education Telangana,State board for secondary (Class 10) in Telangana
BSEAP,Board of Secondary Education Andhra Pradesh,State board for secondary (Class 10) in Andhra Pradesh
BSEB,Bihar School Examination Board,State board for matriculation and intermediate exams in Bihar
BSEH,Board of School Education Haryana,Alternative name for HBSE
BSEM,Board of Secondary Education Manipur,State board for secondary education in Manipur
BSER,Board of Secondary Education Rajasthan,Alternative name for RBSE
CGBSE,Chhattisgarh Board of Secondary Education,State board for secondary education in Chhattisgarh
CHSE ODISHA,Council of Higher Secondary Education Odisha,State board for Class 12 exams in Odisha
COHSEM,Council of Higher Secondary Education Manipur,State board for higher secondary education in Manipur
DGE TN,Directorate of Government Examinations Tamil Nadu,Directorate conducting SSLC and HSC exams in Tamil Nadu
DHSE KERALA,Directorate of Higher Secondary Education Kerala,Directorate for higher secondary education (Class 11-12) in Kerala
GSEB,Gujarat Secondary and Higher Secondary Education Board,State board for SSC and HSC exams in Gujarat
GOA BOARD,Goa Board of Secondary and Higher Secondary Education,State board for secondary and higher secondary education in Goa
HBSE,Haryana Board of School Education,State board for secondary and senior secondary exams in Haryana (BSEH)
HPBOSE,Himachal Pradesh Board of School Education,State board for school education in Himachal Pradesh
JAC,Jharkhand Academic Council,State board for school and intermediate education in Jharkhand
JKBOSE,Jammu and Kashmir Board of School Education,State board for school education in J&K
KSEEB,Kerala State Education Board,State board for school education in Kerala
KSSEB,Karnataka Secondary Education Examination Board,State board for SSLC (Class 10) exams in Karnataka
MBOSE,Meghalaya Board of School Education,State board for school education in Meghalaya
MBSE,Mizoram Board of School Education,State board for school education in Mizoram
MPBSE,Madhya Pradesh Board of Secondary Education,State board for High School and Higher Secondary exams in MP
MSBSHSE,Maharashtra State Board of Secondary and Higher Secondary Education,State board for SSC and HSC exams in Maharashtra
NBSE,Nagaland Board of School Education,State board for school education in Nagaland
PSEB,Punjab School Education Board,State board for school education in Punjab
PU BOARD,Department of Pre-University Education Karnataka,State body for PUC (Class 11-12) exams in Karnataka
RBSE,Rajasthan Board of Secondary Education,State board for secondary and senior secondary education in Rajasthan (BSER)
SEBA,Board of Secondary Education Assam,State board for HSLC (Class 10) exams in Assam
TN BOARD,Tamil Nadu State Board of School Examination,State board for school education in Tamil Nadu
TSBIE,Telangana State Board of Intermediate Education,State board for intermediate education in Telangana
UBSE,Uttarakhand Board of School Education,Alternative name for UK Board
UK BOARD,Uttarakhand Board of School Education,State board for school education in Uttarakhand (UBSE)
UP BOARD,Uttar Pradesh Madhyamik Shiksha Parishad,State board conducting High School and Intermediate exams in Uttar Pradesh
WBBSE,West Bengal Board of Secondary Education,State board for Class 10 exams in West Bengal
WBCHSE,West Bengal Council of Higher Secondary Education,State board for Class 12 exams in West Bengal
PGT,Post Graduate Teacher,"Teacher with postgraduate degree and BEd, eligible for classes 11-12"
PRT,Primary Teacher,Teacher eligible for classes 1-5
TGT,Trained Graduate Teacher,"Teacher with graduate degree and BEd, eligible for classes 6-10"
APTET,Andhra Pradesh Teacher Eligibility Test,State TET for Andhra Pradesh
BIHAR STET,Bihar Secondary Teacher Eligibility Test,State TET for Bihar
CGTET,Chhattisgarh Teacher Eligibility Test,State TET for Chhattisgarh
HTET,Haryana Teacher Eligibility Test,State TET for Haryana
KTET,Kerala Teacher Eligibility Test,State TET for Kerala
MAHA TET,Maharashtra Teacher Eligibility Test,State TET for Maharashtra
MP TET,Madhya Pradesh Teacher Eligibility Test,State TET for Madhya Pradesh
OTET,Odisha Teacher Eligibility Test,State TET for Odisha
REET,Rajasthan Eligibility Examination for Teachers,State TET for Rajasthan
STET,State Teacher Eligibility Test,State-level test for teacher eligibility
TSTET,Telangana State Teacher Eligibility Test,State TET for Telangana
UPTET,Uttar Pradesh Teacher Eligibility Test,State TET for Uttar Pradesh
UTET,Uttarakhand Teacher Eligibility Test,State TET for Uttarakhand
WBTET,West Bengal Teacher Eligibility Test,State TET for West Bengal
BRC,Block Resource Centre,Block-level centers for academic support to teachers and schools
CRC,Cluster Resource Centre,Cluster-level centers for academic support to schools and teachers
DEO,District Education Officer,District-level administrative officer overseeing school education
BEO,Block Education Officer,Block-level administrative officer overseeing school education
SPD,State Project Director,State-level administrative officer overseeing Samagra Shiksha implementation
CDPO,Child Development Project Officer,Officer overseeing child development and anganwadi programs at the project/block level
DC,District Collector,District-level administrative and revenue officer
BED SPL ED,Bachelor of Education Special Education,BEd specializing in teaching children with disabilities
CTE,College of Teacher Education,Institutions for secondary teacher training
DED,Diploma in Education,"Former name for DElEd, diploma for elementary teacher training"
IASE,Institute of Advanced Study in Education,Institutions for advanced teacher training and research
JRC,Junior Red Cross,Youth wing of Indian Red Cross Society in schools
NCC,National Cadet Corps,Tri-services organization grooming youth into disciplined citizens
NSS,National Service Scheme,Public service program for higher secondary and college students
NYKS,Nehru Yuva Kendra Sangathan,Autonomous body for youth development through various activities
SCOUTS & GUIDES,Bharat Scouts and Guides,National scouting and guiding organization for character building
JRF,Junior Research Fellowship,"Research fellowship offered by bodies such as CSIR, UGC, DBT, ICMR for postgraduate researchers"
UG,Under Graduate,"Undergraduate level of study, below postgraduate"
BSE,Board of Secondary Education,"State-level board responsible for secondary education examinations (e.g. BSE Odisha, BSE Telangana)"
